Age,Gender,Ethnicity,Ethnicity_Elab,EnglishNativeLang,BPNSF_AS1,BPNSF_AF1,BPNSF_RS1,BPNSF_RF1,BPNSF_CS1,BPNSF_CF1,BPNSF_AS2,BPNSF_AF2,BPNSF_RS2,BPNSF_RF2,BPNSF_CS2,BPNSF_CF2,BPNSF_AS3,BPNSF_AF3,BPNSF_RS3,BPNSF_RF3,BPNSF_CS3,BPNSF_CF3,BPNSF_AS4,BPNSF_AF4,BPNSF_RS4,BPNSF_RF4,BPNSF_CS4,BPNSF_CF4,VG_Frequency,VG_YearsPlaying,VG_SessionLength,WeekdayPlaytime_1,WeekdayPlaytime_2,WeekdayPlaytime_3,WeekdayPlaytime_4,WeekendPlaytime_1,WeekendPlaytime_2,WeekendPlaytime_3,WeekendPlaytime_4,GAMS_Intrinsic1,GAMS_Intrinsic2,GAMS_Intrinsic3,GAMS_Integrated1,GAMS_Integrated2,GAMS_Integrated3,GAMS_Identified1,GAMS_Identified2,GAMS_Identified3,GAMS_Introjected1,GAMS_Introjected2,GAMS_Introjected3,GAMS_External1,GAMS_External2,GAMS_External3,GAMS_Amotivation1,GAMS_Amotivation2,GAMS_Amotivation3,GAMS_AttCheck,IGD_1,IGD_2,IGD_3,IGD_4,IGD_5,IGD_6,IGD_7,IGD_8,IGD_9,IGD_10,IGD_11,IGD_12,IGD_13,IGD_14,IGD_15,IGD_16,IGD_17,IGD_18,IGD_19,IGD_20,IGD_21,IGD_22,IGD_23,IGD_24,IGD_25,IGD_26,IGD_27,SCS_1,SCS_2,SCS_3,SCS_4,SCS_5,SCS_6,SCS_7,SCS_8,SCS_9,SCS_10,SCS_11,SCS_12,SCS_13,SCS_14,SCS_15,SCS_16,SCS_17,SCS_18,SCS_19,SCS_20,SCS_21,SCS_22,SCS_23,SCS_24,SCS_25,SCS_26,SCS_27,SCS_28,SCS_29,SCS_30,SCS_31,SCS_32,SCS_33,SCS_34,SCS_35,SCS_36,SCS_AttCheck,AC1_Fail,AC2_Fail,AC3_Fail,Failed_ACs,CompSat,AutoSat,RelSat,CompFrust,AutoFrust,RelFrust,NeedSat,NeedFrust,AvgWeekdayPlaytime,AvgWeekendPlaytime,AvgWeeklyPlaytime,Intrinsic,Integrated,Identified,Introjected,External,Amotivation,IGD,SelfControl,AvgWeeklyPlaytime_Wins,SC_P1,SC_P2,SC_P3,IGD_P1,IGD_P2,IGD_P3,Male
21,Male,White,NA,Yes,5,2,5,1,3,3,4,2,5,1,3,2,4,3,5,1,4,3,4,3,5,1,3,3,About 4 or 5 times a week,15,60,0,1,1,0,0,0,1,0,7,5,6,6,4,3,1,1,4,3,1,1,5,1,5,1,1,5,5,3,4,3,6,6,6,4,2,3,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,3,3,2,5,3,2,4,1,2,3,2,4,3,4,5,3,3,1,3,1,3,2,3,3,2,3,4,4,2,4,2,1,4,2,0,0,0,0,3.25,4.25,5,2.75,2.5,1,4.166666667,2.083333333,2,1,12,6,4.333333333,2,1.666666667,3.666666667,2.333333333,1.222222222,3.527777778,12,3.666666667,3.333333333,3.583333333,0.4,1.111111111,2.375,1
18,Female,White,NA,Yes,4,2,4,3,4,4,4,2,4,2,4,3,3,3,4,2,4,3,3,2,4,1,4,2,About once a month,6,90,0,0,2,0,0,0,1,0,5,4,1,1,1,1,2,3,2,1,1,1,5,3,3,1,2,3,5,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,4,1,2,3,2,4,2,4,4,3,4,2,4,4,4,4,4,2,3,1,4,2,3,4,4,3,2,2,4,1,3,2,3,1,4,2,0,0,0,0,4,3.5,4,3,2.25,2,3.833333333,2.416666667,2,1,12,3.333333333,1,2.333333333,1,3.666666667,2,0.111111111,3.361111111,12,3.083333333,3.666666667,3.333333333,0.1,0,0.25,0
18,Male,White,NA,Yes,4,1,4,1,4,2,2,2,4,1,4,2,4,4,4,2,4,2,3,1,4,2,4,3,A couple of times a month,8,60,0,0,0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,5,2,4,2,2,4,1,2,4,1,2,4,3,4,2,3,1,4,3,4,4,3,3,3,3,4,1,2,2,1,1,4,2,0,0,0,0,4,3.25,4,2.25,2,1.5,3.75,1.916666667,0,0,0,2.333333333,1,1,1,1,1,0.111111111,3.805555556,0,3.833333333,4,3.583333333,0.1,0.111111111,0.125,1
18,Female,White,NA,Yes,4,4,2,5,3,5,3,2,3,5,3,4,3,3,2,4,5,4,3,4,5,5,3,4,A couple of times a month,9,60,0,0,1,0,0,1,1,0,7,5,1,5,1,1,1,1,1,1,1,1,5,1,6,6,5,7,5,1,2,1,1,3,3,1,1,1,1,1,1,3,1,3,1,2,1,1,1,1,2,1,1,1,1,1,3,5,4,3,3,3,4,5,5,4,3,5,4,5,3,5,5,5,5,5,4,3,5,1,5,3,2,5,5,3,5,4,2,3,1,3,2,0,0,0,0,3.5,3.25,3,4.25,3.25,4.75,3.25,4.083333333,1,2,9,4.333333333,2.333333333,1,1,4,6,0.407407407,2.222222222,9,2.083333333,2.333333333,2.25,0.3,0.333333333,0.625,0
19,Male,White,NA,Yes,5,4,5,3,4,3,4,4,5,3,3,2,5,3,5,3,5,1,4,4,5,1,3,2,About 2 or 3 times a week,11,120,0,1,2,0,0,0,3,0,7,7,7,7,1,1,1,4,7,4,1,1,7,1,1,4,1,1,5,6,6,4,4,6,1,5,5,3,1,1,1,4,6,6,1,1,1,1,1,6,3,5,4,3,1,1,3,5,5,4,3,1,4,1,5,5,3,1,5,4,4,1,5,5,5,4,5,1,5,1,5,4,4,5,5,3,3,3,5,5,1,4,2,0,0,0,0,3.75,4.5,5,2,3.75,2.5,4.416666667,2.75,3,3,21,7,3,4,2,3,2,2.222222222,2.611111111,21,2.833333333,2.666666667,2.333333333,1.2,2,3.75,1
19,Female,White,NA,Yes,5,2,5,1,5,1,3,1,5,1,5,1,4,1,5,1,5,1,5,1,5,1,5,1,A couple of times a month,10,90,0,1,1,0,0,2,1,0,7,5,1,3,1,1,1,2,2,4,1,1,7,5,4,1,1,1,5,1,1,1,3,1,2,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,2,5,3,5,4,2,1,1,2,2,4,4,2,1,5,1,4,1,3,4,5,1,4,4,3,2,4,1,1,1,2,2,4,2,0,0,0,0,5,4.25,5,1,1.25,1,4.75,1.083333333,2,3,16,4.333333333,1.666666667,1.666666667,2,5.333333333,1,0.407407407,4,16,3.666666667,4.25,4.083333333,0.5,0.444444444,0.25,0
18,Male,White,NA,Yes,4,2,4,1,5,2,4,2,4,1,4,2,3,2,4,1,4,2,4,2,4,2,5,1,About 4 or 5 times a week,10,180,0,0,2,1,0,1,0,0,6,5,2,2,3,4,3,4,5,1,2,1,3,7,1,1,1,1,5,2,2,1,3,1,1,1,4,4,1,1,1,2,3,3,2,3,2,1,1,1,2,1,1,1,1,1,4,3,5,3,4,4,3,4,2,3,4,2,3,2,2,4,2,4,4,3,2,2,4,3,3,4,4,3,3,3,1,3,2,2,2,4,2,0,0,0,0,4.5,3.75,4,1.75,2,1.25,4.083333333,1.666666667,3,1,17,4.333333333,3,4,1.333333333,3.666666667,1,0.740740741,3.166666667,17,3.166666667,3.166666667,3.166666667,0.7,0.888888889,0.625,1
19,Female,White,NA,Yes,4,4,4,2,4,3,3,3,5,2,4,4,4,3,5,2,5,3,4,4,4,1,4,3,Almost every day,14,60,0.25,0.25,0.6,0,0,1,1,0.33,7,5,1,4,4,2,1,4,6,1,1,1,6,6,5,2,4,4,7,1,1,1,2,1,1,1,1,1,1,2,2,5,5,6,1,2,1,1,1,1,2,1,1,1,1,1,3,3,3,3,4,2,3,5,1,4,4,2,4,2,3,3,4,4,3,4,4,3,2,3,4,4,4,4,5,3,2,5,2,4,1,1,2,0,1,0,1,4.25,3.75,4.5,3.25,3.5,1.75,4.166666667,2.833333333,1.1,2.33,10.16,4.333333333,3.333333333,3.666666667,1,5.666666667,3.333333333,0.666666667,2.972222222,10.16,3.333333333,2.916666667,2.666666667,0.6,0.666666667,0.75,0
21,Male,White,NA,Yes,3,5,4,2,3,4,4,3,3,1,3,3,3,4,3,1,3,4,4,4,3,2,4,2,About once a week,13,180,0,0,1,2,0,0,1,2,6,5,4,5,3,5,5,5,5,1,2,2,3,6,5,2,2,3,5,1,1,1,2,3,5,2,2,1,1,1,1,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,3,4,3,2,4,3,2,5,4,3,1,3,3,4,2,2,2,3,2,3,4,3,5,3,3,2,2,3,3,3,3,3,2,2,1,2,2,0,0,0,0,3.25,3.5,3.25,3.25,4,1.5,3.333333333,2.916666667,3,3,21,5,4.333333333,5,1.666666667,4.666666667,2.333333333,0.555555556,2.944444444,21,3.166666667,3,2.666666667,0.2,0.888888889,0.625,1
20,Female,White,NA,Yes,3,2,4,1,3,2,3,1,4,1,3,1,3,1,3,3,3,2,3,3,3,1,4,1,A couple of times a month,7,30,0,0,1,0,0,0,1,0,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,3,3,4,4,3,2,3,1,1,1,4,3,3,1,4,2,3,1,3,3,2,2,4,4,4,2,4,2,1,1,3,3,4,2,0,0,0,0,3.25,3,3.5,1.5,1.75,1.5,3.25,1.583333333,1,1,7,3.333333333,1,1,1,1,2,0,3.555555556,7,3.166666667,3.5,4,0,0,0,0
19,Female,White,NA,Yes,5,2,5,1,5,1,4,2,5,1,4,2,5,1,5,2,5,2,4,2,5,1,4,1,Less than once a month,10,120,0,0,0,0,0,0,2,0,4,3,1,1,1,1,1,3,1,1,1,1,1,2,1,3,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,4,3,5,4,1,2,3,1,3,2,2,2,3,4,3,3,2,1,2,4,3,3,3,3,3,4,2,2,1,3,1,5,2,0,0,0,0,4.5,4.5,5,1.5,1.75,1.25,4.666666667,1.5,0,2,4,2.666666667,1,1.666666667,1,1.333333333,2.333333333,0,3.638888889,4,3.583333333,3.666666667,3.666666667,0,0,0,0
19,Male,White,NA,Yes,2,4,5,5,3,4,3,4,4,2,3,2,2,2,3,1,2,3,1,4,3,2,3,2,About once a month,5,120,0,0,2,0,0,0,2,0,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,5,1,1,1,2,1,1,1,1,1,2,3,1,3,2,2,1,1,2,1,1,1,1,2,1,1,1,1,4,4,2,2,3,1,5,5,1,3,1,2,5,1,4,2,5,5,3,3,2,3,4,3,2,4,3,3,2,3,3,2,3,1,1,5,2,0,0,0,0,2.75,2,3.75,2.75,3.5,2.5,2.833333333,2.916666667,2,2,14,2.666666667,1,1,1,1,5.333333333,0.37037037,3.694444444,14,4.166666667,3.5,3.416666667,0.3,0.555555556,0.25,1
19,Male,White,NA,Yes,3,2,4,3,2,4,3,2,4,1,3,4,5,2,4,1,3,4,4,2,4,2,3,2,About 4 or 5 times a week,14,180,0,0,3,0,0,2,2,0,6,5,7,6,6,6,6,3,6,4,3,3,4,6,5,1,1,1,5,2,2,1,3,4,3,2,2,2,2,2,1,3,4,4,1,1,1,1,1,1,1,1,3,3,1,1,2,4,4,1,2,3,4,4,1,2,1,2,3,4,4,3,3,4,3,2,1,3,2,2,2,3,3,2,3,3,2,1,1,1,1,4,2,0,0,0,0,2.75,3.75,4,3.5,2,1.75,3.5,2.416666667,3,4,23,6,6,5,3.333333333,5,1,0.962962963,3.555555556,23,3.5,3.5,3.666666667,0.7,1,1.25,1
20,Male,Asian/Pacific Islander,NA,No,3,4,3,2,4,2,4,2,3,4,4,2,5,2,4,1,4,3,4,2,3,1,4,2,About 4 or 5 times a week,5,60,0,0,1,1,0,2,3,1,6,5,3,2,3,2,2,2,2,2,5,2,7,6,1,2,1,4,5,2,3,2,4,4,3,3,3,1,4,1,1,4,2,4,1,2,4,2,2,1,1,1,1,1,4,2,4,3,4,2,4,3,3,5,3,3,4,3,3,3,2,2,2,5,4,3,1,3,2,4,1,4,4,4,4,4,2,2,3,3,2,3,2,0,0,0,0,4,4,3.25,2.25,2.5,2,3.75,2.25,2,6,22,4.666666667,2.333333333,2,3,4.666666667,2.333333333,1.333333333,3.305555556,22,3.083333333,3.166666667,3.666666667,0.8,1.222222222,2.125,1
19,Male,Asian/Pacific Islander,NA,Yes,4,3,5,2,4,2,4,3,5,2,4,3,4,3,5,2,4,3,4,3,5,2,3,2,Almost every day,13,150,0,1,2,1,0,1,3,1,6,3,5,5,5,5,6,5,4,4,2,3,3,5,3,3,3,3,5,3,4,2,4,4,3,3,4,3,2,2,2,4,4,4,3,4,2,2,2,1,2,2,3,1,2,2,2,4,3,3,4,3,4,4,2,2,2,3,3,3,3,3,3,4,2,3,2,3,1,3,4,3,2,2,2,3,4,4,2,3,1,4,2,0,0,0,0,3.75,4,5,2.5,3,2,4.25,2.5,4,5,30,4.666666667,5,5,3,3.666666667,3,1.740740741,3.25,30,3.5,3.166666667,3.083333333,1.4,1.888888889,2,1
19,Female,White,NA,Yes,4,2,4,2,4,3,3,3,4,2,5,3,3,2,4,2,4,3,3,3,4,2,4,2,A couple of times a month,13,60,0,0,0,0,0,0,1,0,6,4,5,2,3,3,3,5,3,2,3,3,4,6,6,3,2,2,5,2,5,3,2,2,4,2,2,2,3,2,3,5,2,2,1,2,2,2,2,1,3,3,2,2,2,2,4,2,2,2,2,3,3,3,2,3,1,3,5,3,5,2,2,5,2,2,1,5,2,3,3,4,5,2,2,4,2,2,1,2,3,4,2,0,0,0,0,4.25,3.25,4,2.75,2.5,2,3.833333333,2.416666667,0,1,2,5,2.666666667,3.666666667,2.666666667,5.333333333,2.333333333,1.407407407,3.916666667,2,3.916666667,3.75,4.083333333,1.4,1.444444444,1.375,0
19,Male,White,NA,Yes,4,2,5,2,5,1,4,3,5,2,4,2,5,4,5,1,5,2,4,3,4,2,4,3,About 4 or 5 times a week,12,120,0,2,6,0,0,2,4,1,7,6,4,1,4,2,2,3,7,3,2,1,6,6,6,2,2,3,5,3,2,1,2,2,2,1,4,2,1,1,1,3,1,2,2,2,1,1,3,1,3,2,2,1,2,1,3,3,4,3,5,3,5,4,3,2,2,3,5,5,4,3,4,5,2,3,1,3,2,4,5,3,4,2,2,5,2,2,2,4,1,4,2,0,0,0,0,4.5,4.25,4.75,2,3,1.75,4.5,2.25,8,7,54,5.666666667,2.333333333,4,2,6,2.333333333,0.814814815,3.527777778,43.7,3.5,3.583333333,3.5,0.9,0.888888889,0.625,1
19,Male,White,NA,Yes,3,4,3,2,4,2,3,2,4,2,4,4,3,3,3,3,4,4,3,2,4,3,4,3,About 2 or 3 times a week,6,40,0,2,4,0,2,3,1,0,6,4,2,3,2,2,2,2,3,4,2,2,4,4,2,5,4,4,5,4,4,1,2,2,1,3,2,2,3,4,2,3,2,3,1,1,2,4,1,1,1,2,2,1,2,2,3,2,2,4,3,4,3,3,3,4,4,4,4,2,3,3,4,5,4,3,4,4,2,4,4,3,3,4,2,4,2,3,2,3,4,3,2,0,0,0,0,4,3,3.5,3.25,2.75,2.5,3.5,2.833333333,6,6,42,4,2.333333333,2.333333333,2.666666667,3.333333333,4.333333333,1.148148148,3.055555556,42,3.083333333,3.083333333,3,0.9,1.333333333,1.25,1
18,Male,White,NA,Yes,3,5,4,2,2,5,4,4,4,2,2,5,5,5,5,2,1,5,3,5,5,1,3,5,Almost every day,13,180,0,1,2,0,1,2,2,1,7,7,6,5,1,7,3,3,7,3,5,1,4,6,1,5,5,5,5,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,5,3,1,1,4,3,2,1,1,1,5,5,3,1,2,3,5,1,3,3,3,3,1,1,5,5,2,1,3,1,1,5,1,5,1,1,5,4,1,5,4,1,1,1,3,2,0,0,0,0,2,3.75,4.5,5,4.75,1.75,3.416666667,3.833333333,3,6,27,6.666666667,4.333333333,4.333333333,3,3.666666667,5,0.62962963,2.388888889,27,2.583333333,2.416666667,2.166666667,0.9,0.777777778,0.125,1
18,Male,White,NA,Yes,2,4,4,1,2,3,4,3,3,3,2,4,2,3,3,4,2,3,3,3,3,2,4,5,About 2 or 3 times a week,10,180,0,3,3,0,1,3,1,0,6,6,6,6,7,7,7,6,6,7,7,5,7,7,6,6,7,1,5,6,4,6,4,5,5,4,4,5,5,5,6,4,5,5,3,4,5,4,4,1,6,5,5,5,5,5,1,5,4,5,4,4,4,4,5,5,4,4,5,5,5,5,5,5,4,5,4,4,4,4,3,4,4,5,4,4,4,4,5,5,4,4,5,0,0,1,1,2.5,2.75,3.25,3.75,3.25,2.5,2.833333333,3.166666667,6,5,40,6,6.666666667,6.333333333,6.333333333,6.666666667,4.666666667,3.62962963,2.388888889,40,2.416666667,2.416666667,2.333333333,3.7,3.888888889,3.25,1
18,Male,White,NA,Yes,5,2,5,1,4,2,4,2,5,1,5,2,4,3,5,1,5,1,4,3,4,3,5,1,About 2 or 3 times a week,9,100,0,1,1,0,0,1,1,1,5,3,3,4,2,3,2,4,5,1,1,1,2,5,5,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,3,2,3,1,2,2,5,4,1,3,1,1,2,3,5,1,2,5,2,2,1,2,4,2,3,4,2,2,2,5,1,2,3,1,2,5,2,0,0,0,0,4.75,4.25,4.75,1.5,2.5,1.5,4.583333333,1.833333333,2,3,16,3.666666667,3,3.666666667,1,4,1.333333333,0.222222222,3.805555556,16,3.75,3.75,3.916666667,0.3,0.222222222,0.125,1
19,Male,White,NA,No,4,2,2,2,3,3,2,2,3,2,3,4,3,3,4,2,4,3,2,3,3,3,3,2,Less than once a month,3,30,0,0,0,0,0,0,0,0,3,4,1,1,1,3,1,1,1,1,1,1,1,1,1,5,3,6,5,3,2,1,2,1,2,1,2,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,3,2,4,4,1,2,3,2,2,3,4,4,4,3,2,2,4,4,2,3,3,2,4,3,4,3,3,4,4,3,2,0,0,0,0,3.25,2.75,3,3,2.5,2.25,3,2.583333333,0,0,0,2.666666667,1.666666667,1,1,1,4.666666667,0.407407407,2.972222222,0,3.166666667,2.833333333,2.916666667,0.2,0.555555556,0.5,1
18,Female,White,NA,Yes,4,4,3,3,3,3,4,3,4,3,4,3,3,4,3,3,3,3,4,3,4,3,4,4,A couple of times a month,9,90,0,0,0,0,1,2,1,0,5,6,3,4,3,3,3,2,4,1,4,1,4,5,3,4,4,4,5,2,1,1,3,2,1,2,1,1,1,1,1,3,4,3,1,1,1,1,1,1,1,2,3,1,1,1,2,4,3,1,5,3,5,4,3,4,1,1,2,2,3,4,3,4,4,2,3,3,4,2,3,2,3,4,3,3,4,2,2,2,1,5,2,0,0,0,0,3.5,3.75,3.5,3.25,3.5,3,3.583333333,3.25,0,4,8,4.666666667,3.333333333,3,2,4,4,0.555555556,3.222222222,8,3.166666667,3.416666667,3.083333333,0.4,0.555555556,0.75,0
19,Male,White,NA,Yes,4,4,5,1,5,2,5,2,5,2,4,3,5,1,4,1,5,2,5,3,5,1,4,1,Almost every day,11,120,0.5,1,1,0,3,2,2,0,6,6,5,3,4,3,3,4,1,5,2,1,6,6,6,2,1,1,5,2,1,2,2,2,3,1,2,1,1,1,1,3,4,2,1,1,1,1,1,1,2,1,1,1,1,1,4,5,2,3,5,4,5,4,1,1,2,2,3,3,3,3,2,5,1,3,2,2,4,2,2,1,3,3,1,5,3,1,2,2,2,5,2,0,0,0,0,4.5,4.75,4.75,2,2.5,1.25,4.666666667,1.916666667,2.5,7,26.5,5.666666667,3.333333333,2.666666667,2.666666667,6,1.333333333,0.518518519,3.583333333,26.5,3.25,3.916666667,3.583333333,0.3,0.777777778,0.5,1
19,Male,White,NA,Yes,3,4,4,1,3,2,2,3,4,1,3,2,3,4,4,1,3,2,3,4,4,1,3,1,About once a week,7,60,0,0,1,0,0,0,0,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,5,2,4,5,3,3,1,1,3,1,4,3,3,5,2,2,2,2,3,3,1,3,4,3,2,3,3,1,1,2,2,4,2,0,0,0,0,3,2.75,4,1.75,3.75,1,3.25,2.166666667,1,0,5,2.333333333,1,1,1,1,1,0.111111111,3.722222222,5,3.583333333,3.75,3.833333333,0.1,0.111111111,0.125,1
18,Male,White,NA,Yes,4,3,5,2,5,1,4,2,5,1,5,1,4,2,5,1,5,1,5,2,5,1,5,1,About 2 or 3 times a week,10,150,0,2,2,0,1,0,0,0,7,4,5,5,4,4,3,6,2,3,1,1,2,4,2,3,3,4,5,3,2,2,4,1,1,1,1,1,1,2,1,2,3,3,2,2,3,1,2,2,2,2,2,1,1,1,3,3,1,4,3,4,5,4,4,2,3,4,4,3,3,3,3,5,2,4,1,3,3,5,4,4,3,3,3,5,2,3,2,4,3,3,2,0,0,0,0,5,4.25,5,1,2.25,1.25,4.75,1.5,4,1,22,5.333333333,4.333333333,3.666666667,1.666666667,2.666666667,3.333333333,0.814814815,3.277777778,22,3.166666667,3.416666667,3.25,0.7,0.777777778,1,1
18,Male,White,NA,Yes,3,4,3,3,5,1,4,4,4,3,5,2,3,4,4,2,5,1,4,4,4,4,5,2,Almost every day,13,60,0,3,2,0,1,3,3,0,6,6,1,6,6,7,2,4,6,5,1,1,6,6,4,2,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,2,1,1,1,1,1,2,2,2,1,1,5,3,4,5,4,3,4,4,1,5,3,1,5,1,3,4,1,5,2,3,1,4,4,5,3,4,1,3,5,5,1,3,3,5,2,5,2,0,0,0,0,5,3.5,3.75,1.5,4,3,4.083333333,2.833333333,5,7,39,4.333333333,6.333333333,4,2.333333333,5.333333333,2.333333333,0.296296296,3.444444444,39,3.833333333,2.75,3.75,0.4,0.222222222,0.25,1
18,Male,White,NA,Yes,5,1,5,1,5,1,4,1,5,1,5,2,5,1,5,1,5,1,5,2,4,1,5,1,About 2 or 3 times a week,15,60,0,0,1,0,0,2,0,0,5,4,4,1,1,2,1,1,3,1,1,1,2,2,1,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,5,1,5,1,1,2,1,2,5,1,4,1,3,5,3,2,1,5,1,5,2,5,4,1,1,5,1,1,1,1,1,5,2,0,0,0,0,5,4.75,4.75,1.25,1.25,1,4.833333333,1.166666667,1,2,9,4.333333333,1.333333333,1.666666667,1,1.666666667,2,0,4.694444444,9,4.916666667,4.5,4.666666667,0,0,0,1
18,Female,White,NA,Yes,3,4,4,1,4,2,3,1,5,1,4,2,4,2,4,1,4,3,4,3,4,1,4,3,A couple of times a month,6,60,0,1,0,0,0,0,2,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,4,2,4,3,3,4,3,3,3,2,3,3,4,3,5,4,3,2,2,2,4,4,3,4,4,3,3,3,2,3,2,4,3,2,2,0,0,0,0,4,3.5,4.25,2.5,2.5,1,3.916666667,2,1,2,9,2,1,1,1,1,3,0.074074074,3.111111111,9,3.166666667,3.25,2.916666667,0,0.222222222,0,0
19,Female,White,NA,Yes,3,4,3,2,3,3,2,4,2,4,3,4,3,3,3,4,3,4,2,4,2,4,4,4,Less than once a month,5,20,0,0,1,0,0,0,1,0,5,4,4,1,1,1,2,1,1,2,1,1,3,1,3,5,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3,3,4,3,3,3,2,1,1,2,2,4,2,2,4,2,3,1,3,2,2,3,4,3,3,3,4,1,2,2,2,2,4,2,0,0,0,0,3.25,2.5,2.5,3.75,3.75,3.5,2.75,3.666666667,1,1,7,4.333333333,1,1.333333333,1.333333333,2.333333333,2.666666667,0,3.5,7,3.5,3.416666667,3.583333333,0,0,0,0
18,Female,White,NA,Yes,4,3,5,4,4,4,4,2,5,1,4,2,3,2,5,3,4,2,4,3,5,2,3,2,About once a month,3,30,0,0,0,0,0,0,0.2,0,1,2,2,2,1,2,3,2,2,1,2,2,1,3,2,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,3,2,4,4,4,2,3,2,1,4,2,4,3,2,4,3,4,1,4,4,5,2,4,3,5,2,4,2,3,1,2,3,3,2,0,0,0,0,3.75,3.75,5,2.5,2.5,2.5,4.166666667,2.5,0,0.2,0.4,1.666666667,1.666666667,2.333333333,1.666666667,2,1.666666667,0,3.5,0.4,3.75,3.166666667,3.583333333,0,0,0,0
19,Male,Asian/Pacific Islander,NA,Yes,4,1,5,5,5,1,5,2,4,3,5,1,4,1,4,1,5,1,5,1,1,1,3,1,Almost every day,7,45,0,1,1,0,0,1,0,0,4,4,2,3,2,2,2,2,1,1,1,1,4,3,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,5,3,2,1,1,1,2,2,5,1,1,5,1,1,1,1,1,1,1,5,5,1,2,5,1,1,1,1,1,5,2,0,0,0,0,4.5,4.5,3.5,1,1.25,2.5,4.166666667,1.583333333,2,1,12,3.333333333,2.333333333,1.666666667,1,3,1,0,4.388888889,12,3.833333333,4.416666667,4.916666667,0,0,0,1
18,Female,Latino/Hispanic,NA,Yes,3,3,3,2,3,3,4,5,4,3,3,3,4,4,3,2,2,4,3,4,2,4,2,4,About once a week,5,120,0,0,1,1,0,0,0,0,5,6,5,4,3,3,5,3,3,5,2,2,2,4,2,2,2,1,5,2,2,3,6,5,5,4,4,2,3,3,1,3,4,4,1,3,4,6,3,2,3,3,3,3,4,4,3,4,3,5,4,2,4,3,3,3,3,4,3,4,4,NA,4,3,3,3,4,2,4,3,3,4,4,2,3,4,2,3,4,4,2,2,4,0,0,1,1,2.5,3.5,3,3.5,4,2.75,3,3.416666667,2,0,10,5.333333333,3.333333333,3.666666667,3,2.666666667,1.666666667,2.333333333,2.942857143,10,3,3.083333333,2.75,1.9,2.444444444,2.75,0
18,Male,White,NA,Yes,4,2,4,2,4,2,2,3,4,1,4,1,4,3,4,2,4,2,3,3,4,1,4,2,Almost every day,10,120,0,1,1,0,0,2,2,1,5,6,4,5,5,5,5,3,4,4,3,3,3,3,5,2,2,6,5,1,4,1,1,3,1,1,2,1,3,1,2,1,4,2,1,2,1,1,2,1,1,1,3,2,2,1,3,2,3,4,4,2,3,5,2,3,2,3,4,3,3,3,3,4,2,3,2,3,3,3,4,4,4,4,2,4,2,3,2,2,2,3,2,0,0,0,0,4,3.25,4,1.75,2.75,1.5,3.75,2,2,5,20,5,5,4,3.333333333,3.666666667,3.333333333,0.703703704,3.333333333,20,3.416666667,3.25,3.333333333,0.5,0.777777778,0.875,1
